epoch,train_loss,val_loss,val_r2,val_pearson,val_mae_avg,grad_norm,lr,epoch_time,total_time,MAE_Phys_P0,MAE_Phys_P1,MAE_Phys_P2
116,0.015490423757047319,0.010471804232536993,0.9896259903907776,0.9950491786003113,0.040739097,0.04650321259451941,0.004352827193007511,22.65,2770.8,0.054178666,0.058786117,0.009252512
117,0.01544339055070481,0.010747844659829442,0.9893490672111511,0.9947946071624756,0.03598831,0.043444475522056554,0.004322399740118108,22.63,2793.43,0.050079208,0.048729546,0.009156175
118,0.015371257123855737,0.010241083706481547,0.9898388981819153,0.9950332045555115,0.03512417,0.043020728106696764,0.0042913849963629284,22.64,2816.07,0.04867722,0.047324218,0.009371083
119,0.015393874134880286,0.010956072354618507,0.9891484379768372,0.9949493408203125,0.042203378,0.04439269944715995,0.004259792956681754,22.59,2838.66,0.05839034,0.059037935,0.009181857
120,0.015201961651396827,0.010498615759837477,0.9896090030670166,0.9948701858520508,0.036563817,0.044908610520699915,0.004227633802056144,22.66,2861.32,0.04578829,0.0547069,0.009196264
121,0.014931116622096053,0.009951162187359001,0.9901447296142578,0.995117723941803,0.035585754,0.040667391944521916,0.004194917896228466,22.61,2883.93,0.048942503,0.048869725,0.008945031
122,0.015026455108350078,0.010478374324267424,0.989615261554718,0.9948689341545105,0.035726953,0.04309699924204487,0.004161655782362038,22.64,2906.57,0.04506235,0.05312276,0.008995755
123,0.015155688642312924,0.010701421695419504,0.9893801212310791,0.994823694229126,0.036314096,0.04310418491046459,0.004127858179643443,22.68,2929.26,0.051888347,0.04736015,0.009693794
124,0.014813039249505479,0.010305414471445205,0.9897657036781311,0.9949793815612793,0.03551751,0.039778606394847364,0.0040935359798281185,22.49,2951.75,0.047692362,0.049617637,0.009242527
125,0.015021072789883842,0.010590322410004049,0.9895185828208923,0.9948721528053284,0.03617443,0.04272909630863621,0.004058700243730335,22.67,2974.41,0.048754025,0.050366614,0.009402657
126,0.014898830328505641,0.010772914071626302,0.9893161654472351,0.9949043393135071,0.036464106,0.04198068175643397,0.004023362197658693,22.61,2997.03,0.045687936,0.05375266,0.009951714
127,0.01481016451558366,0.010903517656688448,0.9891851544380188,0.9948336482048035,0.038403276,0.042992400041165446,0.003987533229798287,22.59,3019.62,0.056263767,0.04933311,0.009612947
128,0.014743494149595023,0.010008156299591064,0.9900656342506409,0.995133638381958,0.036232546,0.04173050253107525,0.003951224886540698,22.66,3042.28,0.046253186,0.053479467,0.008964987
129,0.014675176943452975,0.01031356446350677,0.9897578358650208,0.9950037598609924,0.038121477,0.042662927660698326,0.003914448868763008,22.64,3064.92,0.048602056,0.057014473,0.008747905
130,0.014702702482668356,0.01034216111219382,0.9897723197937012,0.9950203895568848,0.03339304,0.041851280376124685,0.0038772170280570303,22.63,3087.55,0.045835655,0.045168493,0.009174974
131,0.01468497571853784,0.010424903676479677,0.9896727204322815,0.9950752258300781,0.040190943,0.04030132967050369,0.00383954136290996,22.6,3110.15,0.047317397,0.06422023,0.009035209
132,0.014599806203628881,0.010184378563603269,0.9899342656135559,0.9950754046440125,0.035859715,0.04168186436731595,0.003801434014837695,22.61,3132.76,0.04568973,0.052697033,0.009192385
133,0.01448508497244253,0.009880699688875222,0.9902021288871765,0.9951216578483582,0.036201563,0.04137817298332914,0.0037629072644720617,22.69,3155.44,0.044525746,0.055263836,0.0088151
134,0.014546898607247935,0.010178319261043886,0.9899126887321472,0.9949952960014343,0.03401226,0.041415041389937596,0.0037239735276032057,22.65,3178.09,0.044715248,0.048440486,0.008881056
135,0.014499801416366627,0.010345549523075925,0.9897391200065613,0.9951138496398926,0.03828199,0.04276592221360999,0.0036846453511784304,22.61,3200.7,0.05177883,0.0538364,0.009230733
136,0.014456703259160344,0.010120448432391203,0.9899733662605286,0.9951391220092773,0.035800938,0.04093531827433421,0.003644935409258762,22.61,3223.31,0.045758557,0.052642673,0.009001575
137,0.014427081464578549,0.010226578652104246,0.9898457527160645,0.995124340057373,0.039216228,0.041331541548950225,0.0036048564989345586,22.66,3245.98,0.04580162,0.06291492,0.008932138
138,0.014229402755396053,0.010173884373676927,0.9898988604545593,0.9950792193412781,0.03617194,0.04058405369543991,0.003564421536201463,22.59,3268.56,0.047626756,0.05182039,0.009068675
139,0.01423966770354932,0.00998566422281386,0.9901061058044434,0.9951541423797607,0.033578016,0.04157664121006625,0.0035236435517980416,22.58,3291.15,0.04598191,0.045628816,0.009123319
140,0.014258247594863842,0.010231411909755272,0.9898772835731506,0.9950283169746399,0.034015518,0.04027078939250674,0.003482535687006447,22.58,3313.73,0.04293796,0.05027825,0.008830348
141,0.014116518794538114,0.010816632192346114,0.9892751574516296,0.994767963886261,0.036785554,0.03910105767698524,0.0034411111894174515,22.66,3336.39,0.04555479,0.05589076,0.008911112
142,0.014267412618326304,0.009741032425361344,0.990359365940094,0.9952031970024109,0.033820435,0.04316105199650454,0.0033993834086612222,22.68,3359.06,0.043851744,0.04904226,0.0085673025
143,0.014155238581160768,0.0099705367148677,0.9901285767555237,0.9952125549316406,0.035338197,0.04052717404100842,0.0033573657921052175,22.67,3381.74,0.046753082,0.05044843,0.008813086
144,0.014046606545250256,0.00989443742776219,0.9902076125144958,0.995296061038971,0.03995995,0.04064139124517814,0.003315071880520581,22.67,3404.41,0.042447288,0.06875384,0.008678725
145,0.013949709578444021,0.010064748269093187,0.9900340437889099,0.9950222969055176,0.032282818,0.04030686293166286,0.0032725153037184373,22.64,3427.05,0.042152923,0.045933038,0.00876249
146,0.014127240775111384,0.010662711873839173,0.9894309043884277,0.9948485493659973,0.035876893,0.04085356538026287,0.0032297097761574897,22.59,3449.64,0.045466393,0.052445583,0.0097187
147,0.013998988337410144,0.009868132162697708,0.9902375340461731,0.9951796531677246,0.032800574,0.04080060277336512,0.0031866690925243463,22.66,3472.3,0.045223292,0.044551328,0.008627098
148,0.013921117630248633,0.010089427609986898,0.9899816513061523,0.9951004981994629,0.03451032,0.04017950796757262,0.0031434071232879835,22.62,3494.92,0.04121137,0.05333917,0.008980413
149,0.013860539506418636,0.009605148170567766,0.9904806017875671,0.9953497052192688,0.034285773,0.04105350613213195,0.0030999378102297944,22.63,3517.55,0.044718254,0.04927409,0.00886497
150,0.013901229102771502,0.009837072861345508,0.9902461171150208,0.9953031539916992,0.03646331,0.04058109412487513,0.0030562751619506493,22.65,3540.2,0.046380516,0.05420354,0.008805872
151,0.013675244852376821,0.009945423542698728,0.990155041217804,0.9951236844062805,0.0323614,0.04135894228498966,0.0030124332493564276,22.7,3562.9,0.042421248,0.046009548,0.008653402
152,0.01374356205851887,0.00998380893393408,0.9901058077812195,0.995349109172821,0.034454662,0.03816298324579057,0.0029684262011234713,22.61,3585.51,0.04020793,0.053885702,0.009270346
